id,code,status_id,branch_id,dat_ecode,mileage,built_year,created_on,created_by
7000036,CAR000036,2,7.0,E985,69227,2021,2025-01-09 07:21:00 UTC,8042
7000037,CAR000037,1,2.0,E366,245535,2015,2024-02-02 20:43:00 UTC,2289
7000038,CAR000038,2,10.0,E698,190620,2021,2024-03-12 01:47:00 UTC,2274
7000039,CAR000039,5,17.0,E681,210244,2020,2024-03-21 19:44:00 UTC,2316
7000040,CAR000040,3,17.0,E320,235787,2019,2024-03-29 17:06:00 UTC,7582
7000041,CAR000041,3,16.0,E559,223848,2016,2025-03-12 02:19:00 UTC,9367
7000042,CAR000042,5,16.0,E784,1031,2019,2025-10-20 20:26:00 UTC,8562
7000043,CAR000043,4,,E766,202011,2023,2026-01-20 18:26:00 UTC,3412
7000044,CAR000044,3,5.0,E477,212873,2020,2025-12-26 19:01:00 UTC,7142
7000045,CAR000045,5,3.0,E382,87020,2018,2024-01-18 16:41:00 UTC,4793
7000046,CAR000046,5,6.0,E608,222675,2019,2024-01-04 23:11:00 UTC,1284
7000047,CAR000047,4,,E347,281509,2021,2024-11-19 08:53:00 UTC,3862
7000048,CAR000048,1,12.0,E168,114393,2016,2024-06-08 02:16:00 UTC,9715
7000049,CAR000049,3,16.0,E414,237489,2018,2025-02-01 12:02:00 UTC,4493
7000050,CAR000050,1,9.0,E564,263323,2020,2025-07-19 18:53:00 UTC,3746
7000051,CAR000051,3,5.0,E102,99554,2020,2024-09-24 14:19:00 UTC,5300
7000052,CAR000052,2,8.0,E901,265528,2022,2024-10-15 03:01:00 UTC,4697
7000053,CAR000053,4,14.0,E417,261519,2022,2024-12-31 02:34:00 UTC,5955
7000054,CAR000054,2,12.0,E178,266018,2025,2024-04-07 06:05:00 UTC,4078
7000055,CAR000055,5,12.0,E300,141265,2021,2024-01-09 04:22:00 UTC,6214
7000056,CAR000056,2,20.0,E639,283048,2020,2025-07-01 02:22:00 UTC,3749
7000057,CAR000057,5,20.0,E435,181212,2024,2025-12-11 03:31:00 UTC,1948
7000058,CAR000058,3,,E912,40833,2017,2026-04-08 18:33:00 UTC,7145
7000059,CAR000059,5,4.0,E485,242547,2020,2024-12-04 11:51:00 UTC,3913
7000060,CAR000060,1,19.0,E325,164079,2023,2024-08-08 17:13:00 UTC,2502
7000061,CAR000061,1,2.0,E300,280377,2016,2025-07-14 22:48:00 UTC,5230
7000062,CAR000062,2,20.0,E936,91727,2019,2025-01-29 06:16:00 UTC,3572
7000063,CAR000063,3,19.0,E574,127962,2015,2024-04-15 22:38:00 UTC,2664
7000064,CAR000064,3,5.0,E583,102288,2019,2024-06-26 02:32:00 UTC,2485
7000065,CAR000065,4,3.0,E301,131788,2016,2024-03-30 09:46:00 UTC,6445
7000066,CAR000066,2,2.0,E164,169153,2018,2025-10-18 11:23:00 UTC,1638
7000067,CAR000067,3,10.0,E110,236814,2022,2024-07-13 01:51:00 UTC,9729
7000068,CAR000068,1,2.0,E731,214525,2020,2024-03-31 21:45:00 UTC,9995
7000069,CAR000069,3,11.0,E567,214268,2021,2024-11-06 21:49:00 UTC,4889
7000070,CAR000070,3,4.0,E901,293742,2017,2026-02-06 09:20:00 UTC,2610
7000071,CAR000071,5,9.0,E449,81059,2015,2024-05-24 13:39:00 UTC,7831
7000072,CAR000072,5,4.0,E123,220860,2016,2024-11-10 21:05:00 UTC,7265
7000073,CAR000073,5,3.0,E117,31866,2023,2025-10-18 12:44:00 UTC,3169
7000074,CAR000074,2,4.0,E514,281780,2017,2024-06-12 21:16:00 UTC,7838
7000075,CAR000075,2,5.0,E803,44892,2025,2026-04-24 16:59:00 UTC,9179
7000076,CAR000076,2,,E900,200768,2024,2024-12-30 20:25:00 UTC,7249
7000077,CAR000077,2,,E377,261345,2024,2024-05-29 00:33:00 UTC,2414
7000078,CAR000078,3,19.0,E335,73955,2025,2026-02-02 00:00:00 UTC,6762
7000079,CAR000079,2,18.0,E742,240004,2015,2025-05-19 04:48:00 UTC,4297
7000080,CAR000080,1,,E776,243903,2019,2024-06-10 04:01:00 UTC,6564
7000081,CAR000081,2,9.0,E924,101335,2023,2025-09-22 15:47:00 UTC,8587
7000082,CAR000082,3,3.0,E402,176467,2017,2024-05-05 04:39:00 UTC,1732
7000083,CAR000083,1,5.0,E746,271537,2021,2024-12-05 21:32:00 UTC,1261
7000084,CAR000084,3,18.0,E129,91965,2017,2026-04-05 12:02:00 UTC,5295
7000085,CAR000085,3,10.0,E588,139144,2022,2024-01-14 13:50:00 UTC,7539
7000086,CAR000086,1,19.0,E123,135834,2016,2025-12-10 19:21:00 UTC,9235
7000087,CAR000087,3,14.0,E501,137097,2018,2026-01-16 18:32:00 UTC,1577
7000088,CAR000088,3,14.0,E924,71536,2018,2024-04-06 12:21:00 UTC,9434
7000089,CAR000089,5,17.0,E553,200710,2020,2025-07-26 15:33:00 UTC,7972
7000090,CAR000090,2,3.0,E310,205133,2025,2025-12-14 19:39:00 UTC,1859
7000091,CAR000091,2,19.0,E123,47233,2016,2025-03-02 20:08:00 UTC,4170
7000092,CAR000092,3,16.0,E950,146277,2025,2025-07-23 12:00:00 UTC,8327
7000093,CAR000093,1,7.0,E621,9743,2018,2024-03-22 18:39:00 UTC,6394
7000094,CAR000094,3,17.0,E700,170162,2018,2024-05-04 23:46:00 UTC,3760
7000095,CAR000095,3,3.0,E703,64981,2019,2026-01-05 18:18:00 UTC,8530
7000096,CAR000096,1,12.0,E338,162284,2022,2026-04-08 18:46:00 UTC,3099
7000097,CAR000097,3,3.0,E853,215349,2022,2025-07-28 07:37:00 UTC,4523
7000098,CAR000098,5,11.0,E846,116900,2017,2025-10-16 01:52:00 UTC,7452
7000099,CAR000099,5,9.0,E985,268666,2023,2025-05-20 00:51:00 UTC,7619
7000100,CAR000100,4,11.0,E489,79249,2024,2026-04-14 20:33:00 UTC,3732
7000101,CAR000101,5,,E290,84283,2023,2025-01-11 21:42:00 UTC,3699
7000102,CAR000102,1,4.0,E639,115469,2017,2026-01-04 17:57:00 UTC,5021
7000103,CAR000103,4,17.0,E626,180751,2021,2025-01-17 06:02:00 UTC,9768
7000104,CAR000104,4,16.0,E519,260632,2023,2026-01-14 09:43:00 UTC,1302
7000105,CAR000105,3,18.0,E324,252464,2019,2025-09-17 12:17:00 UTC,5599
7000106,CAR000106,5,16.0,E442,77839,2016,2025-08-11 10:53:00 UTC,4785
7000107,CAR000107,1,16.0,E430,181676,2025,2024-12-31 20:12:00 UTC,6402
7000108,CAR000108,5,20.0,E600,144936,2023,2025-09-06 20:10:00 UTC,8493
7000109,CAR000109,1,,E398,277070,2021,2024-10-10 02:43:00 UTC,3563
7000110,CAR000110,1,,E220,259484,2021,2025-03-14 14:20:00 UTC,5213
7000111,CAR000111,5,14.0,E464,167877,2016,2024-12-08 07:17:00 UTC,6868
7000112,CAR000112,3,4.0,E726,212446,2022,2026-03-08 20:27:00 UTC,9673
7000113,CAR000113,1,2.0,E679,109289,2020,2025-09-05 13:15:00 UTC,9262
7000114,CAR000114,1,13.0,E903,101490,2015,2026-04-17 05:03:00 UTC,2406
7000115,CAR000115,5,16.0,E767,82387,2017,2026-02-15 23:20:00 UTC,5600
7000116,CAR000116,3,18.0,E910,113704,2019,2024-05-28 04:33:00 UTC,3742
7000117,CAR000117,5,2.0,E681,273577,2019,2025-05-06 12:26:00 UTC,8141
7000118,CAR000118,1,,E995,266368,2015,2025-11-01 22:03:00 UTC,5498
7000119,CAR000119,3,18.0,E105,38743,2020,2024-01-09 06:12:00 UTC,4590
7000120,CAR000120,3,17.0,E508,210843,2022,2025-03-25 23:15:00 UTC,2709
7000121,CAR000121,3,14.0,E116,181905,2018,2024-12-20 10:16:00 UTC,3527
7000122,CAR000122,4,16.0,E976,141154,2021,2025-02-06 01:39:00 UTC,3257
7000123,CAR000123,3,7.0,E504,157716,2024,2025-05-22 04:03:00 UTC,2031
7000124,CAR000124,2,17.0,E940,183989,2021,2024-04-19 19:44:00 UTC,8281
7000125,CAR000125,2,17.0,E473,23320,2017,2026-01-26 20:59:00 UTC,2400
7000126,CAR000126,2,18.0,E351,11281,2025,2024-12-31 10:46:00 UTC,9144
7000127,CAR000127,3,18.0,E242,47840,2017,2025-04-09 10:55:00 UTC,7328
7000128,CAR000128,2,20.0,E479,209490,2022,2024-07-05 13:16:00 UTC,9388
7000129,CAR000129,4,1.0,E556,295219,2024,2024-09-30 09:47:00 UTC,1366
7000130,CAR000130,5,19.0,E202,265698,2016,2025-05-07 10:05:00 UTC,8472
7000131,CAR000131,1,5.0,E686,146404,2019,2025-05-09 11:23:00 UTC,2572
7000132,CAR000132,2,11.0,E310,53591,2021,2026-03-23 09:38:00 UTC,5515
7000133,CAR000133,5,,E878,129207,2023,2025-09-26 17:11:00 UTC,6510
7000134,CAR000134,3,15.0,E555,228736,2020,2025-11-09 18:30:00 UTC,7213
7000135,CAR000135,1,16.0,E119,190606,2020,2026-03-09 10:37:00 UTC,5964
7000136,CAR000136,2,,E955,161388,2018,2026-01-12 19:16:00 UTC,8076
7000137,CAR000137,4,4.0,E444,216234,2024,2025-07-03 15:42:00 UTC,3862
7000138,CAR000138,5,9.0,E886,29190,2022,2024-05-24 23:00:00 UTC,7634
7000139,CAR000139,1,12.0,E315,189713,2024,2025-12-11 07:19:00 UTC,8599
7000140,CAR000140,1,4.0,E226,175601,2025,2025-04-22 03:03:00 UTC,5133
7000141,CAR000141,2,10.0,E729,138798,2018,2025-04-18 14:54:00 UTC,2175
7000142,CAR000142,5,16.0,E236,91674,2020,2026-04-18 21:16:00 UTC,6984
7000143,CAR000143,4,9.0,E206,118047,2020,2025-04-24 16:21:00 UTC,5429
7000144,CAR000144,4,10.0,E197,207311,2023,2025-10-25 23:40:00 UTC,6387
7000145,CAR000145,2,20.0,E781,165665,2017,2025-10-26 11:29:00 UTC,4895
7000146,CAR000146,3,12.0,E665,10255,2025,2024-05-28 17:23:00 UTC,6636
7000147,CAR000147,3,16.0,E470,263975,2016,2025-05-12 23:38:00 UTC,7697
7000148,CAR000148,5,9.0,E743,62634,2018,2025-02-16 01:09:00 UTC,7726
7000149,CAR000149,3,15.0,E101,158592,2015,2024-06-20 07:13:00 UTC,8618
7000150,CAR000150,5,15.0,E748,51340,2019,2024-04-14 08:25:00 UTC,9072
7000151,CAR000151,2,10.0,E227,292488,2020,2025-11-16 18:31:00 UTC,6232
7000152,CAR000152,5,7.0,E611,149583,2020,2025-08-08 10:02:00 UTC,7593
7000153,CAR000153,1,7.0,E723,204583,2016,2024-02-07 03:29:00 UTC,1316
7000154,CAR000154,5,,E131,21611,2016,2024-03-20 14:22:00 UTC,8181
7000155,CAR000155,4,19.0,E909,142405,2024,2026-02-06 01:24:00 UTC,1547
7000156,CAR000156,5,6.0,E641,164892,2020,2025-05-15 17:27:00 UTC,2603
7000157,CAR000157,1,12.0,E692,124915,2025,2025-02-11 22:09:00 UTC,7950
7000158,CAR000158,2,12.0,E302,225624,2022,2025-03-31 12:43:00 UTC,4934
7000159,CAR000159,3,17.0,E708,214657,2015,2025-01-11 21:50:00 UTC,9012
7000160,CAR000160,2,18.0,E651,113406,2019,2024-02-29 14:08:00 UTC,2398
7000161,CAR000161,3,4.0,E871,102633,2024,2024-08-06 07:51:00 UTC,1119
7000162,CAR000162,1,20.0,E579,163470,2017,2024-03-17 08:12:00 UTC,9069
7000163,CAR000163,2,14.0,E514,118973,2020,2025-10-12 09:39:00 UTC,8860
7000164,CAR000164,4,15.0,E887,33797,2019,2025-12-30 23:36:00 UTC,9522
7000165,CAR000165,1,,E152,240220,2025,2024-01-23 06:45:00 UTC,4740
7000166,CAR000166,4,12.0,E674,81408,2021,2026-04-03 11:49:00 UTC,1412
7000167,CAR000167,3,6.0,E785,218621,2018,2025-06-09 05:54:00 UTC,8714
7000168,CAR000168,1,5.0,E618,275249,2021,2026-04-09 18:16:00 UTC,8031
7000169,CAR000169,2,,E231,103825,2017,2025-08-20 03:05:00 UTC,2237
7000170,CAR000170,2,11.0,E987,84396,2021,2024-09-27 20:42:00 UTC,2353
7000171,CAR000171,5,19.0,E925,77937,2020,2024-04-20 18:31:00 UTC,6015
7000172,CAR000172,3,,E744,144051,2021,2025-02-07 10:28:00 UTC,7099
7000173,CAR000173,3,,E938,167212,2019,2025-12-17 06:11:00 UTC,5692
7000174,CAR000174,1,18.0,E781,180625,2016,2024-03-19 03:33:00 UTC,4503
7000175,CAR000175,5,1.0,E803,178276,2017,2025-01-26 14:12:00 UTC,1949
7000176,CAR000176,5,4.0,E806,114449,2022,2024-07-30 17:52:00 UTC,8026
7000177,CAR000177,1,18.0,E897,147516,2022,2025-06-09 09:49:00 UTC,2315
7000178,CAR000178,2,6.0,E128,40059,2019,2024-09-23 12:42:00 UTC,9556
7000179,CAR000179,3,9.0,E161,52089,2016,2024-09-06 06:15:00 UTC,4024
7000180,CAR000180,2,13.0,E111,103548,2015,2025-03-29 05:34:00 UTC,9325
7000181,CAR000181,3,15.0,E594,25227,2024,2025-05-08 12:58:00 UTC,1173
7000182,CAR000182,4,14.0,E211,285931,2018,2025-03-07 21:42:00 UTC,8619
7000183,CAR000183,5,12.0,E102,254326,2021,2025-01-21 04:47:00 UTC,8909
7000184,CAR000184,4,6.0,E196,262613,2017,2025-12-06 02:40:00 UTC,1684
7000185,CAR000185,5,13.0,E674,26860,2025,2024-10-15 17:33:00 UTC,5911
7000186,CAR000186,5,8.0,E145,119587,2025,2024-04-15 16:24:00 UTC,3651
7000187,CAR000187,3,13.0,E362,226129,2022,2025-01-31 09:41:00 UTC,5890
7000188,CAR000188,1,13.0,E137,170293,2025,2024-04-21 18:39:00 UTC,4779
7000189,CAR000189,4,9.0,E915,299386,2015,2025-09-15 21:01:00 UTC,8971
7000190,CAR000190,3,5.0,E444,61027,2024,2025-10-22 00:14:00 UTC,8383
7000191,CAR000191,5,3.0,E855,196959,2023,2025-11-30 01:07:00 UTC,2635
7000192,CAR000192,2,19.0,E500,244556,2015,2024-07-11 12:34:00 UTC,8575
7000193,CAR000193,3,8.0,E168,131531,2025,2024-10-10 05:07:00 UTC,7520
7000194,CAR000194,3,6.0,E511,2807,2017,2026-01-16 04:49:00 UTC,3854
7000195,CAR000195,1,18.0,E824,268409,2022,2024-04-25 13:36:00 UTC,7010
7000196,CAR000196,1,5.0,E985,122585,2018,2026-03-22 08:32:00 UTC,7030
7000197,CAR000197,5,10.0,E296,44349,2015,2025-07-12 07:48:00 UTC,7688
7000198,CAR000198,3,3.0,E591,164314,2020,2025-01-05 14:15:00 UTC,5156
7000199,CAR000199,3,4.0,E126,86419,2016,2025-01-21 18:13:00 UTC,5984
7000200,CAR000200,5,8.0,E293,46498,2024,2024-02-18 02:09:00 UTC,6413
7000201,CAR000201,5,16.0,E679,7257,2018,2025-01-11 16:40:00 UTC,6552
7000202,CAR000202,1,16.0,E604,43701,2022,2026-04-07 19:29:00 UTC,1439
7000203,CAR000203,4,17.0,E562,30875,2024,2024-07-15 01:22:00 UTC,5971
7000204,CAR000204,4,1.0,E437,49875,2021,2024-03-16 04:16:00 UTC,5151
7000205,CAR000205,5,19.0,E428,110489,2018,2025-07-07 07:48:00 UTC,8343
7000206,CAR000206,1,18.0,E564,212661,2022,2025-01-29 17:16:00 UTC,8615
7000207,CAR000207,1,1.0,E497,147703,2018,2025-11-14 13:54:00 UTC,6081
7000208,CAR000208,5,15.0,E792,123252,2016,2024-11-28 20:53:00 UTC,8740
7000209,CAR000209,2,8.0,E281,139515,2024,2026-02-17 07:02:00 UTC,7884
7000210,CAR000210,4,11.0,E873,263077,2019,2026-02-05 23:46:00 UTC,6575
7000211,CAR000211,5,9.0,E646,23643,2024,2024-04-29 00:19:00 UTC,5972
7000212,CAR000212,2,4.0,E654,49617,2020,2025-12-18 14:46:00 UTC,7340
7000213,CAR000213,3,6.0,E595,27982,2022,2024-01-21 10:54:00 UTC,6896
7000214,CAR000214,3,16.0,E523,62534,2016,2026-04-17 18:45:00 UTC,2761
7000215,CAR000215,4,13.0,E414,236706,2020,2024-02-22 15:36:00 UTC,5750
7000216,CAR000216,4,11.0,E572,79568,2023,2025-11-20 23:22:00 UTC,8469
7000217,CAR000217,5,7.0,E403,266766,2020,2024-06-04 05:24:00 UTC,5396
7000218,CAR000218,2,19.0,E110,267060,2019,2025-11-27 00:48:00 UTC,7229
7000219,CAR000219,4,1.0,E963,228474,2021,2025-06-25 11:47:00 UTC,3981
7000220,CAR000220,4,3.0,E323,273316,2017,2025-10-27 22:55:00 UTC,7713
7000221,CAR000221,1,20.0,E885,233185,2022,2026-03-11 17:30:00 UTC,8474
7000222,CAR000222,4,2.0,E875,108542,2024,2025-03-25 19:23:00 UTC,7656
7000223,CAR000223,4,15.0,E703,97331,2022,2024-05-27 12:14:00 UTC,2142
7000224,CAR000224,4,8.0,E466,65593,2017,2025-11-17 02:03:00 UTC,7872
7000225,CAR000225,1,14.0,E652,89041,2019,2024-06-25 05:42:00 UTC,4304
7000226,CAR000226,2,2.0,E906,76024,2018,2024-06-16 07:12:00 UTC,4764
7000227,CAR000227,1,13.0,E933,15433,2021,2024-09-15 08:24:00 UTC,5236
7000228,CAR000228,1,13.0,E726,181244,2025,2025-12-25 07:43:00 UTC,3138
7000229,CAR000229,5,13.0,E430,74701,2024,2024-07-14 10:28:00 UTC,6005
7000230,CAR000230,3,8.0,E593,26459,2015,2024-04-02 04:32:00 UTC,7267
7000231,CAR000231,5,11.0,E394,279768,2022,2024-09-28 08:33:00 UTC,6581
7000232,CAR000232,5,,E871,273777,2015,2024-09-08 03:07:00 UTC,5193
7000233,CAR000233,3,5.0,E642,4387,2020,2024-06-19 11:22:00 UTC,5056
7000234,CAR000234,3,5.0,E473,175599,2015,2025-03-30 13:48:00 UTC,8858
7000235,CAR000235,5,,E557,286399,2021,2025-07-24 13:35:00 UTC,1449
7000236,CAR000236,2,19.0,E233,89491,2016,2025-11-26 05:02:00 UTC,5081
7000237,CAR000237,1,20.0,E834,171932,2023,2024-03-17 15:02:00 UTC,7574
7000238,CAR000238,5,,E234,284086,2022,2025-02-28 06:37:00 UTC,9593
7000239,CAR000239,5,16.0,E307,40997,2019,2026-03-06 15:10:00 UTC,3580
7000240,CAR000240,3,14.0,E277,60297,2022,2026-04-04 09:36:00 UTC,7427
7000241,CAR000241,4,1.0,E340,103077,2017,2024-11-13 09:07:00 UTC,9878
7000242,CAR000242,4,1.0,E119,170964,2016,2025-07-24 16:00:00 UTC,1677
7000243,CAR000243,3,11.0,E801,42569,2017,2024-07-02 16:31:00 UTC,1347
7000244,CAR000244,1,3.0,E840,257428,2020,2024-05-30 21:10:00 UTC,5875
7000245,CAR000245,4,9.0,E642,262247,2024,2025-01-10 08:04:00 UTC,3252
7000246,CAR000246,1,9.0,E515,218607,2017,2025-11-05 22:04:00 UTC,8642
7000247,CAR000247,1,4.0,E464,90714,2021,2024-11-23 20:47:00 UTC,8328
7000248,CAR000248,1,8.0,E988,209794,2015,2024-09-15 08:10:00 UTC,8885
7000249,CAR000249,5,7.0,E306,8023,2024,2025-07-01 10:18:00 UTC,7102
7000250,CAR000250,2,18.0,E321,209612,2023,2025-06-03 15:09:00 UTC,1171
7000251,CAR000251,1,9.0,E443,234535,2024,2025-03-12 01:50:00 UTC,3515
7000252,CAR000252,4,3.0,E374,279672,2020,2024-08-22 04:25:00 UTC,9194
7000253,CAR000253,4,1.0,E197,192355,2015,2025-12-21 03:39:00 UTC,2750
7000254,CAR000254,5,16.0,E785,70328,2015,2025-08-02 13:31:00 UTC,3115
7000255,CAR000255,2,2.0,E222,295833,2017,2024-12-24 02:36:00 UTC,6780
7000256,CAR000256,2,19.0,E560,2966,2019,2024-05-09 07:14:00 UTC,4239
7000257,CAR000257,3,17.0,E265,55075,2020,2026-02-11 15:37:00 UTC,9774
7000258,CAR000258,3,4.0,E179,226106,2018,2025-10-08 11:58:00 UTC,8268
7000259,CAR000259,2,1.0,E906,245656,2020,2024-03-26 09:38:00 UTC,8528
7000260,CAR000260,1,10.0,E287,157776,2023,2024-11-05 22:54:00 UTC,8663
7000261,CAR000261,4,6.0,E494,69307,2020,2026-04-26 07:37:00 UTC,2306
7000262,CAR000262,1,6.0,E407,247324,2022,2025-06-13 17:15:00 UTC,4860
7000263,CAR000263,4,16.0,E275,136204,2019,2026-02-16 20:27:00 UTC,4133
7000264,CAR000264,3,10.0,E737,243451,2023,2025-10-12 09:12:00 UTC,9116
7000265,CAR000265,4,12.0,E587,58838,2020,2024-06-17 19:55:00 UTC,7653
7000266,CAR000266,3,8.0,E630,23549,2017,2026-02-09 22:54:00 UTC,1768
7000267,CAR000267,5,,E119,156623,2017,2026-02-20 07:17:00 UTC,5800
7000268,CAR000268,4,2.0,E741,17028,2015,2025-04-27 18:55:00 UTC,5703
7000269,CAR000269,4,12.0,E594,120566,2022,2024-01-10 19:04:00 UTC,7802
7000270,CAR000270,2,13.0,E491,73572,2017,2024-05-10 09:56:00 UTC,6996
7000271,CAR000271,1,8.0,E522,122073,2015,2024-09-24 19:09:00 UTC,2384
7000272,CAR000272,1,4.0,E795,175109,2017,2026-01-05 08:59:00 UTC,8647
7000273,CAR000273,1,15.0,E288,96566,2021,2024-09-04 03:45:00 UTC,6091
7000274,CAR000274,3,14.0,E685,7683,2015,2024-03-08 08:31:00 UTC,2077
7000275,CAR000275,5,8.0,E322,173993,2024,2025-06-18 08:08:00 UTC,9642
7000276,CAR000276,3,6.0,E261,283436,2025,2026-01-24 08:28:00 UTC,4970
7000277,CAR000277,3,20.0,E527,218809,2022,2026-03-23 20:48:00 UTC,8809
7000278,CAR000278,2,20.0,E120,89505,2017,2026-03-27 02:22:00 UTC,8066
7000279,CAR000279,3,15.0,E846,124877,2021,2026-02-26 05:47:00 UTC,6315
7000280,CAR000280,2,5.0,E719,296052,2015,2024-01-11 01:46:00 UTC,1621
7000281,CAR000281,4,10.0,E962,238650,2021,2025-12-21 20:03:00 UTC,2106
7000282,CAR000282,2,15.0,E615,257319,2018,2025-10-22 09:19:00 UTC,6322
7000283,CAR000283,1,10.0,E280,131329,2016,2024-11-21 08:42:00 UTC,7562
7000284,CAR000284,2,2.0,E852,227947,2022,2025-09-26 15:38:00 UTC,6958
7000285,CAR000285,2,20.0,E301,161315,2018,2026-04-10 08:36:00 UTC,7557
7000286,CAR000286,3,7.0,E857,97062,2020,2025-08-24 00:17:00 UTC,3859
7000287,CAR000287,2,11.0,E567,104876,2018,2025-06-09 15:35:00 UTC,9371
7000288,CAR000288,1,16.0,E338,146350,2020,2024-04-10 07:15:00 UTC,5072
7000289,CAR000289,1,6.0,E335,222826,2019,2025-10-06 21:13:00 UTC,2662
7000290,CAR000290,4,9.0,E122,299873,2023,2024-07-02 04:18:00 UTC,7132
7000291,CAR000291,4,6.0,E156,127734,2018,2024-07-14 22:52:00 UTC,6682
7000292,CAR000292,1,13.0,E149,66805,2018,2024-02-15 10:58:00 UTC,3163
7000293,CAR000293,1,16.0,E825,48067,2020,2024-11-30 03:52:00 UTC,6840
7000294,CAR000294,4,2.0,E923,140865,2025,2024-11-28 17:54:00 UTC,1857
7000295,CAR000295,3,11.0,E502,161195,2016,2024-10-06 04:09:00 UTC,2289
7000296,CAR000296,3,12.0,E976,46928,2017,2025-08-30 19:10:00 UTC,6255
7000297,CAR000297,1,16.0,E889,271990,2016,2024-08-26 16:51:00 UTC,2493
7000298,CAR000298,3,1.0,E457,118028,2019,2024-09-12 23:56:00 UTC,5160
7000299,CAR000299,4,4.0,E441,261682,2020,2026-02-19 02:39:00 UTC,6864
7000300,CAR000300,4,14.0,E916,121908,2017,2025-05-23 03:57:00 UTC,9436
7000301,CAR000301,3,14.0,E351,10148,2021,2025-10-08 20:08:00 UTC,2971
7000302,CAR000302,1,,E785,282252,2025,2026-02-01 13:08:00 UTC,6974
7000303,CAR000303,3,5.0,E109,1406,2022,2026-01-03 13:15:00 UTC,8140
7000304,CAR000304,3,5.0,E156,165832,2024,2024-03-15 10:02:00 UTC,7314
7000305,CAR000305,4,20.0,E556,242476,2016,2025-05-27 11:42:00 UTC,6014
7000306,CAR000306,4,1.0,E617,23037,2024,2024-07-13 21:13:00 UTC,1621
7000307,CAR000307,3,14.0,E850,51356,2015,2024-04-21 01:05:00 UTC,4547
7000308,CAR000308,5,17.0,E612,293168,2016,2025-09-06 04:31:00 UTC,9813
7000309,CAR000309,3,13.0,E772,61073,2021,2025-08-31 06:02:00 UTC,4982
7000310,CAR000310,4,17.0,E584,281838,2020,2025-07-22 16:07:00 UTC,2451
7000311,CAR000311,4,20.0,E146,184772,2025,2025-06-24 21:22:00 UTC,1576
